posted,neighborhood,post title,number bedrooms,sqft,URL,price
2022-01-08 15:50, (Brighton boston/cambridge/brookline ),2bd/1ba - 2 Parking Spots INCLUDED & POOL,2,,https://boston.craigslist.org/gbs/apa/d/brighton-2bd-1ba-parking-spots-included/7430355212.html,2000
2022-01-08 15:49, (Newtonville metro west ),NEWTONVILLE 2 bedroom/den fireplace Avail. now,2,1550.0,https://boston.craigslist.org/bmw/apa/d/newtonville-newtonville-bedroom-den/7430354770.html,2800
2022-01-08 15:46, (Brighton boston/cambridge/brookline ),MASSIVE EXCLUSIVE CLEVELAND CIRCLE MODERN STUDIO MUST SEE 3/1,,,https://boston.craigslist.org/gbs/apa/d/brighton-massive-exclusive-cleveland/7430353443.html,1425
2022-01-08 15:33, (Jamaica Plain boston/cambridge/brookline ),3 BDR/1 bath Apartment in Jamaica plain $2400,3,,https://boston.craigslist.org/gbs/apa/d/roxbury-crossing-bdr-bath-apartment-in/7430346609.html,2400
2022-01-08 15:32, (Allston boston/cambridge/brookline ),NO FEE- STAINLESS STEEL- MUST SEE- FANTASTIC 4 BEDROOM with PORCH!,4,,https://boston.craigslist.org/gbs/apa/d/allston-no-fee-stainless-steel-must-see/7430346155.html,3000
2022-01-08 15:18, (Brighton boston/cambridge/brookline ),NO FEE - Balcony and Hardwood Floors - H/HW INCLUDED,2,,https://boston.craigslist.org/gbs/apa/d/brighton-no-fee-balcony-and-hardwood/7430339338.html,2295
2022-01-08 15:11, (Allston boston/cambridge/brookline ),Available for MARCH - 1 bed unit,1,,https://boston.craigslist.org/gbs/apa/d/allston-available-for-march-bed-unit/7430335740.html,1895
2022-01-08 15:05, (Brighton boston/cambridge/brookline ),NO FEE - VERY BRIGHT STUDIO!,,,https://boston.craigslist.org/gbs/apa/d/brighton-no-fee-very-bright-studio/7430332288.html,1595
2022-01-08 14:45, (Somerville - Union Square boston/cambridge/brookline ),Half Fee! Lovely 3 BR w/ Dining Room & Private Deck.,3,,https://boston.craigslist.org/gbs/apa/d/somerville-half-fee-lovely-br-dining/7430322048.html,2800
2022-01-08 13:27, (Halifax south shore ),Nice 1 Bedroom Apartment,1,,https://boston.craigslist.org/sob/apa/d/halifax-nice-bedroom-apartment/7430280682.html,1500
2022-01-08 13:25, (Quincy south shore ),Five minute walk to Quincy Center,2,900.0,https://boston.craigslist.org/sob/apa/d/quincy-five-minute-walk-to-quincy-center/7430279865.html,2000
2022-01-08 13:24, (Quincy south shore ),MODERN AND BRIGHT 2 BED,2,900.0,https://boston.craigslist.org/sob/apa/d/quincy-modern-and-bright-bed/7430279011.html,1950
2022-01-08 13:22, (Weymouth south shore ),Updated one bedroom in Weymouth,1,700.0,https://boston.craigslist.org/sob/apa/d/east-weymouth-updated-one-bedroom-in/7430278248.html,1750
2022-01-08 13:15, (Boston boston/cambridge/brookline ),"(((HARVARD SQ 2 Bed 1 Bath Charmer))) Heat, Hot Water INCL 3/1",2,,https://boston.craigslist.org/gbs/apa/d/cambridge-harvard-sq-bed-bath-charmer/7430274339.html,2600
2022-01-08 13:07, (Peabody north shore ),Looking for a lovely 2 Bed / 2 bath? Search no more! 1225 Sq Feet,2,1225.0,https://boston.craigslist.org/nos/apa/d/peabody-looking-for-lovely-bed-bath/7430269958.html,2550
2022-01-08 12:51, (WINCHESTER(close to Ctr) boston/cambridge/brookline ),**WINCHESTER**1 BED Plus in two family~~CEDAR CLOSET--Close to Ctr,1,,https://boston.craigslist.org/gbs/apa/d/winchester-winchester1-bed-plus-in-two/7430261278.html,1995
2022-01-08 12:51, (QUINCY south shore ),QUINCY KING SIZE ONE BEDROOM,1,,https://boston.craigslist.org/sob/apa/d/quincy-quincy-king-size-one-bedroom/7430261022.html,1700
2022-01-08 12:50, (WOBURN (Horn Pond) boston/cambridge/brookline ),WOBURN~~2 BED~two levels~W/D IN unit~~~Hardwood~~~FEB 1,2,,https://boston.craigslist.org/gbs/apa/d/woburn-woburn2-bedtwo-levelsw-in/7430260539.html,2100
2022-01-08 12:41, ( boston/cambridge/brookline ),Ball Square~1 BED + DEN~W/D in UNIT~Pets ok~Roof Deck~GYM ~FREE MONTH,1,,https://boston.craigslist.org/gbs/apa/d/west-medford-ball-square1-bed-denw-in/7430255788.html,3150
2022-01-08 12:38, (CENTRAL SQUARE CAMBRIDGE boston/cambridge/brookline ),(((HOT LOCATION))) (((Cambridge/Central Square 2 Bed 1 Bath))) 2/1,2,,https://boston.craigslist.org/gbs/apa/d/cambridge-hot-location-cambridge/7430253662.html,2200
2022-01-08 12:22, ( boston/cambridge/brookline ),**WAITLIST FOR 2022 MOVE IN DATES**TOURS AVAILABLE**CALL TODAY**,3,,https://boston.craigslist.org/gbs/apa/d/brookline-waitlist-for-2022-move-in/7430245041.html,4100
2022-01-08 12:21, ( boston/cambridge/brookline ),**WAITLIST FOR 2022 MOVE IN DATES**TOURS AVAILABLE**CALL TODAY**,3,,https://boston.craigslist.org/gbs/apa/d/brookline-waitlist-for-2022-move-in/7430244812.html,2300
2022-01-08 12:21, (Brookline boston/cambridge/brookline ),**LUXURIOUS 3BR AVAILABLE**NO BROKER FEE**IN PERSON TOURS AVAILABLE**,3,,https://boston.craigslist.org/gbs/apa/d/brookline-luxurious-3br-availableno/7430244547.html,4300
2022-01-08 12:20, (central sq Cambridge boston/cambridge/brookline ),(((SWEET DEAL!!!)))) (((Cambridge/Central Square 1 Bed 1Bath))) 2/1,1,,https://boston.craigslist.org/gbs/apa/d/cambridge-sweet-deal-cambridge-central/7430243800.html,2100
2022-01-08 12:15, (123 Bellevue RD #3 Lynn MA boston/cambridge/brookline ),Apartment for Rent $2700,3,,https://boston.craigslist.org/gbs/apa/d/lynn-apartment-for-rent-2700/7430241043.html,2700
2022-01-08 11:58, (Brookline boston/cambridge/brookline ),3 Bedroom Apartment In Brookline- March Move-In,3,,https://boston.craigslist.org/gbs/apa/d/brookline-bedroom-apartment-in/7430232107.html,3500
2022-01-08 11:46, (Brookline boston/cambridge/brookline ),2 Bedroom Brookline Apartment for February Move-In,2,,https://boston.craigslist.org/gbs/apa/d/brookline-village-bedroom-brookline/7430226251.html,2695
